Time,r_1,r_2,r_3
0,0.0282842712474619,-0.0565685424949238,-0.014142135623731
61.1350515918359,0.0264854229162502,-0.0599493528986002,-0.0149294436239557
122.270103183672,0.0246485390811004,-0.0630046117219657,-0.0155751875334516
183.405154775508,0.0227376123728223,-0.0658211957051079,-0.0161576533933375
244.540206367344,0.0207604902137273,-0.0683901600558662,-0.0166744807657277
305.67525795918,0.0187252935346243,-0.0707035865642914,-0.01712357866061
366.810309551016,0.016640381490015,-0.0727546164741382,-0.0175031341341619
427.945361142852,0.0145143151632561,-0.0745374785713959,-0.0178116196655915
489.080412734687,0.0123558204444213,-0.0760475123848008,-0.0180477992936214
550.215464326523,0.0101737502737776,-0.0772811864092865,-0.0182107334901296
611.350515918359,0.007977046445575,-0.0782361112900957,-0.0182997827536368
672.485567510195,0.00577470116833174,-0.0789110479334769,-0.0183146099115935
733.620619102031,0.00357571857604003,-0.0793059105380758,-0.0182551811268852
794.755670693867,0.00138907638149022,-0.0794217645688837,-0.0181217656104364
855.890722285703,-0.000776312139457759,-0.0792608197226752,-0.0179149340481743
917.025773877539,-0.00291163565009045,-0.0788264179601762,-0.0176355557568301
978.160825469375,-0.00500822156561831,-0.0781230167051629,-0.0172847945890898
1039.29587706121,-0.00705757200807471,-0.0771561673344147,-0.0168641036143893
1100.43092865305,-0.00905139874275234,-0.0759324891048105,-0.01637521860716
1161.56598024488,-0.0109816569456675,-0.0744596386844388,-0.015820150379527
1222.70103183672,-0.0128405776620773,-0.0727462754736562,-0.0152011760003109
1283.83608342855,-0.0146206988255685,-0.0708020229191716,-0.0145208289466359
1344.97113502039,-0.016314894719646,-0.0686374260398216,-0.0137818882384543
1406.10618661223,-0.017916403774615,-0.0662639053965278,-0.0129873666097065
1467.24123820406,-0.019418854603476,-0.063693707751973,-0.0121404977723087
1528.3762897959,-0.0208162901926068,-0.060939853679384,-0.0112447228295198
1589.51134138773,-0.022103190169131,-0.0580160824031743,-0.0103036758886791
1650.64639297957,-0.023274491062625,-0.0549367942342537,-0.00932116888265145
1711.78144457141,-0.0243256043238142,-0.0517169915919713,-0.00830117525652144
1772.91649616324,-0.0252435192098706,-0.0484041286608664,-0.00723000919414322
1834.05154775508,-0.0260253848588567,-0.0450349356520853,-0.00610254229366491
1895.18659934691,-0.0266830257353406,-0.0415943763948076,-0.0049411225551898
1956.32165093875,-0.0272201795730336,-0.0380785368017626,-0.00375987400447463
2017.45670253059,-0.0276348191930213,-0.0345028117751094,-0.00256354532985282
2078.59175412242,-0.0279254062325687,-0.0308828126913887,-0.00135693990482617
2139.72680571426,-0.0280908955917224,-0.0272343044147256,-0.00014489722465081
2200.86185730609,-0.0281307376700712,-0.0235731430111437,0.00106772616894485
2261.99690889793,-0.0280448786902387,-0.0199152136176783,0.00227607582495637
2323.13196048977,-0.027833759176928,-0.0162763685813123,0.00347531846058944
2384.2670120816,-0.0274983106346393,-0.0126723660569627,0.00466066089771488
2445.40206367344,-0.0270399504649702,-0.00911880926431454,0.00582736878668526
2506.53711526527,-0.0264605751650593,-0.0056310866014859,0.00697078504988812
2567.67216685711,-0.0257625518528289,-0.00222431280838679,0.00808634797999275
2628.80721844895,-0.0249487081651989,0.0010867286336294,0.00916960893004415
2689.94227004078,-0.0240223205788339,0.00428764168564712,0.0102162495346573
2751.07732163262,-0.0229871012052769,0.00736447234519309,0.0112220984036445
2812.21237322445,-0.0218471831129547,0.010303761483429,0.0121831472314699
2873.34742481629,-0.0206071042314415,0.0130925957649989,0.0130955662679067
2934.48247640812,-0.0192717898945422,0.0157186564959859,0.0139557190970003
2995.61752799996,-0.017846534082098,0.0181702662508448,0.0147601766723924
3056.7525795918,-0.0163369806916609,0.0204364320993544,0.0155057305554854
3117.88763118363,-0.0147491329360689,0.0225068671340769,0.0161894052915762
3179.02268277547,-0.013089341473473,0.0243720409784765,0.0168084697968359
3240.1577343673,-0.0113642553211203,0.0260232451582502,0.0173604470943709
3301.29278595914,-0.00963854800167075,0.027384364227443,0.0177478655998701
3362.42783755098,-0.0080167349060777,0.0283708225756543,0.0178268621477864
3423.56288914281,-0.00646892031457985,0.0290668733495831,0.0176923688131296
3484.69794073465,-0.0049233316228095,0.0295672245818278,0.0174872159535815
3545.83299232648,-0.00338619179173532,0.0298725316691609,0.0172122075164424
3606.96804391832,-0.0018636897411622,0.0299842372547457,0.0168684236223061
3668.10309551016,-0.000361953495134361,0.0299045658947852,0.0164572175389573
3729.23814710199,0.00111297594897855,0.029636514918413,0.0159802108890402
3790.37319869383,0.00255517022642938,0.029183841934396,0.0154392877136004
3851.50825028566,0.00395883860639531,0.0285510491043334,0.0148365874894659
3912.6433018775,0.00531835228167039,0.0277433642757499,0.0141744971388878
3973.77835346934,0.00662826783737608,0.0267667190743337,0.0134556420600547
4034.91340506117,0.00788334979440224,0.0256277240660573,0.0126828762068604
4096.04845665301,0.00907859212866462,0.0243336411121784,0.0118592712485982
4157.18350824484,0.0102092386753911,0.0228923530519866,0.0109881048433822
4218.31855983668,0.0112708023341408,0.0213123308593625,0.0100728480625336
4279.45361142851,0.0122590829990881,0.0196025984294447,0.00911715200674652
4340.58866302035,0.0131701841470379,0.0177726951609905,0.00812483365846112
4401.72371461219,0.0140005280244784,0.015832636508215,0.00709986101849582
4462.85876620402,0.0147468693842565,0.013792872682975,0.0060463375785711
4523.99381779586,0.0154063077296318,0.011664245694151,0.00496848618487798
4585.12886938769,0.0159762980341837,0.00945794491607796,0.00387063235126638
4646.26392097953,0.016454659913275,0.00718546138148426,0.00275718708392826
4707.39897257137,0.0168395852316595,0.00485854099721043,0.00163262928259107
4768.5340241632,0.0171296441399232,0.00248913688257161,0.000501487786189721
4829.66907575504,0.0173237895395592,8.93610309394905e-05,-0.00063167686628996
4890.80412734687,0.0174213599848243,-0.00232856450504732,-0.00176229088664752
4951.93917893871,0.0174220810361992,-0.00475235670500306,-0.00288578582471454
5013.07423053055,0.0173260650853256,-0.00716972074964204,-0.00399761721508805
5074.20928212238,0.0171338096794073,-0.00956839906397145,-0.00509328320568114
5135.34433371422,0.0168461943778953,-0.0119362200043132,-0.0061683430927866
5196.47938530605,0.0164644761805952,-0.0142611457029789,-0.0072184357139427
5257.61443689789,0.0159896328495595,-0.0164775552385306,-0.00824450415969936
5318.74948848973,0.0154337786331266,-0.0185260618053285,-0.00924438378459099
5379.88454008156,0.0148126227952548,-0.0204511756075166,-0.0102088016465381
5441.0195916734,0.0141318302989388,-0.0222932070592802,-0.0111318281948304
5502.15464326523,0.0133941993679218,-0.0240447625795531,-0.0120097050388712
5563.28969485707,0.0126027463678726,-0.0256988172365467,-0.0128388557415146
5624.42474644891,0.0117606938046366,-0.0272487421232051,-0.013615900885127
5685.55979804074,0.0108714576356128,-0.0286883297837609,-0.014337672341054
5746.69484963258,0.00993863396710377,-0.0300118179358116,-0.0150012266656669
5807.82990122441,0.00896598518746697,-0.0312139114529625,-0.0156038575577019
5868.96495281625,0.00795742558387946,-0.0322898025494971,-0.0161431073166264
5930.10000440809,0.00691700648750284,-0.0332351891079421,-0.0166167772466027
5991.23505599992,0.00584890099284289,-0.0340462910944298,-0.0170229369557453
6052.37010759176,0.00475738829535414,-0.0347198650116747,-0.0173599325058373
